id_servicio,pred,Churn.30,callgroup,minpercentile,maxpercentile,cp,id_agente,calldate,ap,evalscore_raw,max_diffgroup_raw
603846112.0,0.11064529287108257,0.0,8,0.8,0.9,0.878429979505141,5411,2020-01-23,0.06654676258992806,0.8118832169152129,82.0
651059916.0,0.12231365733743717,0.0,8,0.8,0.9,0.878964286625307,5411,2020-01-27,0.06654676258992806,0.8124175240353789,82.0
633114651.0,0.05300184822942055,0.0,5,0.5,0.6,0.5911190115559608,5411,2020-01-23,0.06654676258992806,0.5245722489660327,53.0
952376556.0,0.04001204588764953,0.0,1,0.1,0.2,0.12415626341826638,5411,2020-01-24,0.06654676258992806,0.05760950082833832,6.0
620139910.0,0.042694165959121344,0.0,2,0.2,0.3,0.2978908728816287,5411,2020-01-27,0.06654676258992806,0.23134411029170063,24.0
603874912.0,0.06603708683696564,0.0,6,0.6,0.7,0.6687129526918344,5411,2020-01-24,0.06654676258992806,0.6021661901019063,61.0
920409111.0,0.05467478616666207,1.0,5,0.5,0.6,0.5919483629362694,5411,2020-01-23,0.06654676258992806,0.5254016003463413,53.0
639462217.0,0.042694165959121344,0.0,2,0.2,0.3,0.2845689601779386,5411,2020-01-21,0.06654676258992806,0.21802219758801053,22.0
620581757.0,0.029277322264602494,0.0,0,0.0,0.1,0.036807855148272194,5411,2020-01-21,0.06654676258992806,0.029738907441655867,3.0
666871053.0,0.06057274300752373,0.0,6,0.6,0.7,0.6446233155788711,5411,2020-01-21,0.06654676258992806,0.578076552988943,58.0
687188655.0,0.047461051992237185,0.0,3,0.3,0.4,0.315687421274048,5411,2020-01-27,0.06654676258992806,0.24914065868411991,25.0
622736317.0,0.059076868795250384,0.0,6,0.6,0.7,0.6458459098177342,5411,2020-01-25,0.06654676258992806,0.5792991472278061,58.0
638626852.0,0.04915315893676516,0.0,4,0.4,0.5,0.46266043409389146,5411,2020-01-24,0.06654676258992806,0.39611367150396337,40.0
696793650.0,0.07743683973027725,0.0,7,0.7,0.8,0.7529367995951346,5411,2020-01-23,0.06654676258992806,0.6863900370052065,69.0
600574558.0,0.04268132564641069,0.0,2,0.2,0.3,0.2929372523169041,5411,2020-01-21,0.06654676258992806,0.22639048972697604,23.0
633323319.0,0.06374144276326356,0.0,6,0.6,0.7,0.6211931066923132,5411,2020-01-27,0.06654676258992806,0.5546463441023851,56.0
911929817.0,0.03072127602768627,0.0,0,0.0,0.1,0.005203710184911792,5411,2020-01-21,0.06654676258992806,0.061343052405016266,7.0
626762252.0,0.03217955942369514,0.0,0,0.0,0.1,0.04726095182795448,5411,2020-01-27,0.06654676258992806,0.019285810761973582,2.0
633123452.0,0.07191702828157442,0.0,7,0.7,0.8,0.7126759508654756,5411,2020-01-24,0.06654676258992806,0.6461291882755476,65.0
658091956.0,0.047712585002377024,0.0,4,0.4,0.5,0.4729144063047186,5411,2020-01-21,0.06654676258992806,0.4063676437147905,41.0
633918216.0,0.05053533864087367,0.0,4,0.4,0.5,0.44420878757526244,5411,2020-01-27,0.06654676258992806,0.3776620249853344,38.0
669807818.0,0.031043113710396773,0.0,0,0.0,0.1,0.07783855294812894,5411,2020-01-21,0.06654676258992806,0.011291790358200882,2.0
925276018.0,0.0338911024263146,0.0,0,0.0,0.1,0.002623029839257818,5411,2020-01-24,0.06654676258992806,0.06392373275067025,7.0
605109257.0,0.08962367758795914,0.0,8,0.8,0.9,0.8570021040462885,6067,2020-01-29,0.2643884892086331,0.5926136148376554,60.0
649521959.0,0.044524708545748616,0.0,3,0.3,0.4,0.31584216769455187,6067,2020-01-22,0.2643884892086331,0.05145367848591875,6.0
656596757.0,0.08084389157577573,0.0,7,0.7,0.8,0.7401251579591354,6067,2020-01-21,0.2643884892086331,0.47573666875050225,48.0
609786618.0,0.043785957265569476,0.0,2,0.2,0.3,0.23138909317360956,6067,2020-01-23,0.2643884892086331,0.032999396035023554,4.0
952664450.0,0.041623120077859135,0.0,1,0.1,0.2,0.141870529486519,6067,2020-01-23,0.2643884892086331,0.12251795972211413,13.0
617758952.0,0.04480653014687966,0.0,3,0.3,0.4,0.38998874006164047,6067,2020-01-23,0.2643884892086331,0.12560025085300736,13.0
722214619.0,0.046837134788707414,0.0,3,0.3,0.4,0.35023820493864277,6067,2020-01-23,0.2643884892086331,0.08584971573000966,9.0
685241153.0,0.042694165959121344,0.0,2,0.2,0.3,0.22028443858861346,6067,2020-01-28,0.2643884892086331,0.04410405062001965,5.0
678683659.0,0.0510731800573637,0.0,4,0.4,0.5,0.4137133992705618,6067,2020-01-28,0.2643884892086331,0.14932491006192866,15.0
631685251.0,0.038280727437763215,0.0,1,0.1,0.2,0.16555560156788102,6067,2020-01-27,0.2643884892086331,0.0988328876407521,10.0
688655452.0,0.04392359130006258,0.0,2,0.2,0.3,0.2955467863414932,6067,2020-01-24,0.2643884892086331,0.031158297132860058,4.0
669714056.0,0.051284177915448925,0.0,4,0.4,0.5,0.46099482714364015,6067,2020-01-27,0.2643884892086331,0.19660633793500704,20.0
916054951.0,0.0337893702596868,0.0,0,0.0,0.1,0.059618942845765216,6067,2020-01-21,0.2643884892086331,0.2047695463628679,21.0
601005519.0,0.06151893781086215,0.0,6,0.6,0.7,0.649080255694855,6067,2020-01-28,0.2643884892086331,0.38469176648622183,39.0
655035657.0,0.11927573557323358,0.0,8,0.8,0.9,0.8763954866312095,6067,2020-01-20,0.2643884892086331,0.6120069974225764,62.0
657678459.0,0.04746067794864816,0.0,3,0.3,0.4,0.37086277450096305,6067,2020-01-22,0.2643884892086331,0.10647428529232994,11.0
