"diffgroup","gain","ap_correction","cp_correction","adjusted_gain"
0,NA,NA,NA,NA
1,-0.0095464040821378,0.000942772299191277,0.00405459196477111,-0.0145437683461002
2,0.0164230615667171,0.000423894912458494,0.0061851371618002,0.00981402949245844
3,0.0108469026263198,0.00108512420057187,0.0065706593357356,0.00319111909001235
4,0.00125232985940016,0.000743669520129642,0.00736874463437972,-0.00686008429510921
5,-0.000169013025357434,0.00089787901772639,0.00614622192636714,-0.00721311396945096
6,0.00166066620290517,0.000982499368539879,0.00611329773520275,-0.00543513090083746
7,0.00323100858658476,0.000955885205423144,0.00652229077190283,-0.00424716739074121
8,0.00347387652357245,0.000691146522500732,0.0064052837974731,-0.00362255379640138
9,0.00579984188609572,0.000532821885081813,0.00617472154053236,-0.000907701539518446
10,0.00707772092458714,0.000551078008574732,0.00682898972927136,-0.000302346813258952
11,0.00572896496564379,0.000396585502752057,0.00739733929754604,-0.00206495983465431
12,0.00764674577724345,0.000349867207436278,0.00790636538860003,-0.000609486818792862
13,0.0097692036832161,0.000332311486954997,0.00821078154101471,0.00122611065524639
14,0.00933599333948343,0.000358983136684529,0.00835605258032526,0.00062095762247364
15,0.00779236288854079,0.000272419583545668,0.00879274079391519,-0.00127279748892006
16,0.00772245056875387,0.000307245289915858,0.00892060191136601,-0.00150539663252799
17,0.00643849068918589,0.000293677530038127,0.00899857527420431,-0.00285376211505654
18,0.00663032018347132,0.000356361360224877,0.00938058705943667,-0.00310662823619023
19,0.0067965345161064,0.000307782245755118,0.00957910542383546,-0.00309035315348417
20,0.00621279873818148,0.000111117908889055,0.00985170893106914,-0.00375002810177671
21,0.00747661872099381,0.000165115093239107,0.00955359540478874,-0.00224209177703403
22,0.00727033708475244,5.04883859773349e-05,0.00961754985042085,-0.00239770115164574
23,0.00694518546052247,0.00012687742473348,0.0094250958566951,-0.00260678782090611
24,0.00540247959368667,0.000226138064324002,0.00959036864800602,-0.00441402711864335
25,0.00457579882431114,0.000231773990712671,0.0096411020266417,-0.00529707719304323
26,0.00404036605922964,0.000205113063735123,0.00961673202915475,-0.00578147903366024
27,0.00459923741931134,0.000120423283334712,0.00969947819955272,-0.00522066406357609
28,0.00463368715615442,0.000223460179498477,0.00965309558682228,-0.00524286861016633
29,0.00502098713108567,0.000161340865688354,0.00956900029611658,-0.00470935403071926
30,0.00504861745168605,0.000193238226854272,0.00969831574723066,-0.00484293652239888
31,0.00447786398956118,0.00024779221645374,0.00947792691920171,-0.00524785514609427
32,0.00488105538520556,0.000321895667283016,0.00958989645748436,-0.00503073673956182
33,0.00487573646383654,0.000374344300048306,0.00950547374377843,-0.00500408157999019
34,0.00502495666881242,0.00044862509995334,0.00937450983253854,-0.00479817826367946
35,0.00457348668117108,0.000460222937353865,0.00936128787097688,-0.00524802412715966
36,0.00441408605703641,0.000409374347207466,0.00932343203513209,-0.00531872032530314
37,0.00432255905415435,0.000346634765794665,0.00906791887023265,-0.00509199458187296
38,0.00422389756376662,0.000355702224830772,0.00890795234388691,-0.00503975700495107
39,0.00438321130708674,0.000350189555915916,0.0088477907549979,-0.00481476900382708
40,0.0051831565785937,0.000330144613435438,0.00885058774545979,-0.00399757578030154
41,0.00535714029953804,0.000357603839823827,0.00878451735693069,-0.00378498089721648
42,0.0055168473956555,0.000349458899386719,0.00872493232326741,-0.00355754382699863
43,0.0058110741850137,0.000363169074451726,0.00845809960238602,-0.00301019449182405
