"diffgroup","gain","ap_correction","cp_correction","adjusted_gain"
90,-0.000271709347794205,-0.00378852985605184,-0.00390734206792459,0.00742416257618223
91,-0.000194604652889591,-0.00365508513137126,-0.00314894891890606,0.00660942939738773
92,-0.000173962648014794,-0.00349114664729198,-0.00295369931411415,0.00627088331339133
93,-0.000215568771328195,-0.00356445383996911,-0.00230704490552959,0.0056559299741705
94,-0.00017712189154323,-0.00348955227350381,-0.00192947268480252,0.00524190306676309
95,-0.000132777680271826,-0.00347218043872679,-0.0014912204611109,0.00483062321956586
96,-8.84760020141845e-05,-0.00341180263148675,-0.00105338858964385,0.00437671521911641
97,4.16236362229955e-05,-0.00344150557806412,-0.000554852674596232,0.00403798188888334
98,1.78330019728612e-05,-0.00332867631052298,-0.000263473742902788,0.00360998305539863
99,0,-0.00308539692421087,-0.000178983486602183,0.00326438041081305
100,0,-0.00308539692421087,-0.000178983486602183,0.00326438041081305
