id_servicio,pred,Churn.30,callgroup,minpercentile,maxpercentile,cp,id_agente,calldate,ap,evalscore_raw,max_diffgroup_raw
603846112.0,0.9058265468899948,1.0,1,0.1,0.2,0.15607839950535093,5411,2020-01-23,0.9334532374100719,0.777374837904721,78.0
651059916.0,0.8833147267787428,1.0,1,0.1,0.2,0.1637938046454705,5411,2020-01-27,0.9334532374100719,0.7696594327646014,77.0
633114651.0,0.9511251503994469,1.0,5,0.5,0.6,0.5157826777594866,5411,2020-01-23,0.9334532374100719,0.4176705596505853,42.0
952376556.0,0.9583264221236638,1.0,8,0.8,0.9,0.8570635648099943,5411,2020-01-24,0.9334532374100719,0.07638967260007756,8.0
620139910.0,0.9569077622017064,1.0,7,0.7,0.8,0.7149350450324493,5411,2020-01-27,0.9334532374100719,0.2185181923776226,22.0
603874912.0,0.9338682293798302,1.0,3,0.3,0.4,0.38314119305595795,5411,2020-01-24,0.9334532374100719,0.550312044354114,56.0
920409111.0,0.9423322454129424,0.0,4,0.4,0.5,0.472884805116718,5411,2020-01-23,0.9334532374100719,0.4605684322933539,47.0
639462217.0,0.9572603466336564,1.0,7,0.7,0.8,0.7094129287295099,5411,2020-01-21,0.9334532374100719,0.22404030868056202,23.0
620581757.0,0.9698557312373963,1.0,9,0.9,1.0,0.9477852088455649,5411,2020-01-21,0.9334532374100719,0.01433197143549303,2.0
666871053.0,0.9416126269353567,1.0,4,0.4,0.5,0.4721434810489028,5411,2020-01-21,0.9334532374100719,0.4613097563611691,47.0
687188655.0,0.9502180776725224,1.0,5,0.5,0.6,0.5676664029297684,5411,2020-01-27,0.9334532374100719,0.36578683448030347,37.0
622736317.0,0.9420137200644411,1.0,4,0.4,0.5,0.4446910771360892,5411,2020-01-25,0.9334532374100719,0.4887621602739827,49.0
638626852.0,0.9481610220010374,1.0,4,0.4,0.5,0.46376443359150316,5411,2020-01-24,0.9334532374100719,0.46968880381856876,47.0
696793650.0,0.9232274801836897,1.0,2,0.2,0.3,0.20849178704057936,5411,2020-01-23,0.9334532374100719,0.7249614503694926,73.0
600574558.0,0.9552343924164387,1.0,6,0.6,0.7,0.6912834523576061,5411,2020-01-21,0.9334532374100719,0.24216978505246578,25.0
633323319.0,0.9385229466182126,1.0,3,0.3,0.4,0.32808201840390544,5411,2020-01-27,0.9334532374100719,0.6053712190061664,61.0
911929817.0,0.9686126603945124,1.0,9,0.9,1.0,0.9472523426272064,5411,2020-01-21,0.9334532374100719,0.013799105217134455,2.0
626762252.0,0.9673641534601778,1.0,9,0.9,1.0,0.9768663457741092,5411,2020-01-27,0.9334532374100719,0.043413108364037334,5.0
633123452.0,0.9376412157128978,1.0,3,0.3,0.4,0.36211800159355817,5411,2020-01-24,0.9334532374100719,0.5713352358165138,58.0
658091956.0,0.9487902684450106,1.0,5,0.5,0.6,0.5775963036411884,5411,2020-01-21,0.9334532374100719,0.3558569337688835,36.0
633918216.0,0.9485717501683478,1.0,4,0.4,0.5,0.4182287348153386,5411,2020-01-27,0.9334532374100719,0.5152245025947333,52.0
669807818.0,0.9689646738750095,1.0,9,0.9,1.0,0.9051440689856102,5411,2020-01-21,0.9334532374100719,0.02830916842446174,3.0
925276018.0,0.9638034934838439,1.0,9,0.9,1.0,0.9595026119403498,5411,2020-01-24,0.9334532374100719,0.02604937453027789,3.0
605109257.0,0.9048667173926312,1.0,1,0.1,0.2,0.17914302419464267,6067,2020-01-29,0.7356115107913669,0.5564684865967242,56.0
649521959.0,0.957369872802833,1.0,7,0.7,0.8,0.7996887360426757,6067,2020-01-22,0.7356115107913669,0.06407722525130877,7.0
656596757.0,0.9303073094629116,1.0,2,0.2,0.3,0.23469315952097822,6067,2020-01-21,0.7356115107913669,0.5009183512703886,51.0
609786618.0,0.9548896104992333,1.0,6,0.6,0.7,0.6646863108069136,6067,2020-01-23,0.7356115107913669,0.07092519998445324,8.0
952664450.0,0.9604780056642475,1.0,8,0.8,0.9,0.8598387512715633,6067,2020-01-23,0.7356115107913669,0.1242272404801964,13.0
617758952.0,0.9565754435155078,1.0,7,0.7,0.8,0.7158014270875547,6067,2020-01-23,0.7356115107913669,0.01981008370381221,2.0
722214619.0,0.9487660854939487,1.0,4,0.4,0.5,0.42429367290737835,6067,2020-01-23,0.7356115107913669,0.31131783788398854,32.0
685241153.0,0.9572603466336564,1.0,7,0.7,0.8,0.7830141231658035,6067,2020-01-28,0.7356115107913669,0.04740261237443666,5.0
678683659.0,0.9482385782801174,1.0,4,0.4,0.5,0.49303076787010147,6067,2020-01-28,0.7356115107913669,0.2425807429212654,25.0
631685251.0,0.9610172123304911,1.0,8,0.8,0.9,0.8227184021595957,6067,2020-01-27,0.7356115107913669,0.0871068913682288,9.0
688655452.0,0.9550209914950865,1.0,6,0.6,0.7,0.6248163774815955,6067,2020-01-24,0.7356115107913669,0.11079513330977142,12.0
669714056.0,0.9487986474132634,1.0,5,0.5,0.6,0.5971973730872869,6067,2020-01-27,0.7356115107913669,0.13841413770407995,14.0
916054951.0,0.969472863713445,1.0,9,0.9,1.0,0.9692071354532122,6067,2020-01-21,0.7356115107913669,0.23359562466184536,24.0
601005519.0,0.9339569913959525,1.0,3,0.3,0.4,0.3120738858875348,6067,2020-01-28,0.7356115107913669,0.42353762490383207,43.0
655035657.0,0.8886077088726131,1.0,1,0.1,0.2,0.11623255000951159,6067,2020-01-20,0.7356115107913669,0.6193789607818553,62.0
657678459.0,0.9487300944432018,1.0,4,0.4,0.5,0.4372170460548145,6067,2020-01-22,0.7356115107913669,0.2983944647365524,30.0
