callgroup,churn_rate,nchurn,ncalls
0,0.017446471054718478,22.0,1261
1,0.03290529695024077,41.0,1246
2,0.03741746148202495,51.0,1363
3,0.04279475982532751,49.0,1145
4,0.0439297124600639,55.0,1252
5,0.054602184087363496,70.0,1282
6,0.058394160583941604,72.0,1233
7,0.060144346431435444,75.0,1247
8,0.1304,163.0,1250
9,0.2671451355661882,335.0,1254
