id_agente,churn_rate,ncalls,nchurn,ap
586,0.0,16,0,0.33
617,0.08270676691729323,133,11,0.6744604316546763
629,0.05472636815920398,201,11,0.22122302158273383
634,0.06666666666666667,45,3,0.41906474820143885
642,0.07432432432432433,148,11,0.5341726618705036
646,0.0,6,0,0.33
648,0.08620689655172414,58,5,0.6996402877697842
654,0.03278688524590164,122,4,0.08812949640287769
664,0.0821917808219178,146,12,0.6636690647482014
669,0.14814814814814814,27,4,0.33
672,0.0626865671641791,335,21,0.33992805755395683
674,0.09230769230769231,65,6,0.7643884892086331
680,0.0,10,0,0.33
693,0.047619047619047616,21,1,0.33
697,0.06,50,3,0.289568345323741
698,0.09375,160,15,0.7859712230215827
700,0.09574468085106383,188,18,0.8075539568345323
703,0.029411764705882353,34,1,0.05935251798561151
705,0.07971014492753623,138,11,0.6276978417266187
710,0.08,25,2,0.33
718,0.0,3,0,0.33
749,0.0449438202247191,267,12,0.14568345323741008
762,0.07042253521126761,71,5,0.4802158273381295
786,0.2,10,2,0.33
788,0.02857142857142857,35,1,0.052158273381294966
789,0.061224489795918366,49,3,0.3183453237410072
793,0.11764705882352941,17,2,0.33
798,0.02127659574468085,47,1,0.023381294964028777
807,0.15384615384615385,39,6,0.987410071942446
827,0.06040268456375839,149,9,0.3039568345323741
831,0.12,25,3,0.33
833,0.03535353535353535,198,7,0.09532374100719425
835,0.1724137931034483,29,5,0.33
849,0.07936507936507936,126,10,0.6205035971223022
854,0.0,8,0,0.33
857,0.05263157894736842,19,1,0.33
865,0.04424778761061947,226,10,0.13489208633093525
870,0.2222222222222222,9,2,0.33
871,0.06299212598425197,127,8,0.3435251798561151
874,0.06451612903225806,31,2,0.36510791366906475
879,0.06451612903225806,62,4,0.37589928057553956
881,0.02564102564102564,39,1,0.044964028776978415
884,0.038461538461538464,52,2,0.09892086330935251
889,0.09375,32,3,0.7823741007194245
896,0.0,1,0,0.33
926,0.043478260869565216,23,1,0.33
937,0.08771929824561403,57,5,0.7356115107913669
939,0.046511627906976744,43,2,0.1528776978417266
1013,0.05286343612334802,227,12,0.1960431654676259
1015,0.06470588235294118,170,11,0.37949640287769787
1022,0.08928571428571429,56,5,0.75
1031,0.05172413793103448,58,3,0.18884892086330934
1049,0.3333333333333333,9,3,0.33
1058,0.0,6,0,0.33
1066,0.05813953488372093,86,5,0.2715827338129496
1075,0.0,1,0,0.33
1078,0.09782608695652174,92,9,0.8471223021582733
1082,0.0,13,0,0.33
1084,0.1,10,1,0.33
1110,0.1,10,1,0.33
1669,0.0821917808219178,73,6,0.670863309352518
1752,0.0979020979020979,143,14,0.85431654676259
1790,0.0,4,0,0.33
1806,0.0,2,0,0.33
1895,0.058823529411764705,51,3,0.2751798561151079
1911,0.05263157894736842,19,1,0.33
2014,0.057971014492753624,138,8,0.26798561151079137
2041,0.0975609756097561,82,8,0.8399280575539568
2129,0.02857142857142857,105,3,0.05575539568345324
2180,0.18181818181818182,11,2,0.33
2211,0.0641025641025641,156,10,0.3579136690647482
2214,0.05555555555555555,36,2,0.24280575539568344
2223,0.08653846153846154,104,9,0.7140287769784173
