"diffgroup","gain","ap_correction","cp_correction","adjusted_gain"
49,-0.00897531587795763,-0.00555109587900062,-0.109681296759114,0.106257076760157
50,-0.00849462928946922,-0.00529177504196272,-0.10810273247969,0.104899878232183
51,-0.00888908098419297,-0.00516762876629653,-0.105264847098701,0.101543394880805
52,-0.00930352570595902,-0.00508107155401636,-0.101977984954186,0.0977555308022436
53,-0.00877148948840994,-0.0047709840736836,-0.0976052649893655,0.0936047595746391
54,-0.00825162182475653,-0.00532066777883685,-0.0929738517512992,0.0900428977053795
55,-0.00769192036749093,-0.00608149828247539,-0.0893975224816059,0.0877871003965904
56,-0.00730961015455832,-0.0069770761166828,-0.0844387454552248,0.0841062114173493
57,-0.00709895764105822,-0.00693482202223083,-0.0815409431536475,0.0813768075348201
58,-0.00663599931904096,-0.00657053522246666,-0.0764906366836928,0.0764251725871185
59,-0.0064420330165452,-0.00639637526356448,-0.0725877541338814,0.0725420963809007
60,-0.00594760937033481,-0.00633605573379213,-0.0682990645671417,0.068687510930599
61,-0.00524297371898665,-0.00594754425457382,-0.0664331558884619,0.067137726424049
62,-0.00506309788083435,-0.00512191422362469,-0.0655519364621371,0.0656107528049275
63,-0.00423499353828208,-0.00508805017764359,-0.0607402725275605,0.061593329166922
64,-0.0037602064657703,-0.00542417092891228,-0.0561746050500516,0.0578385695131936
65,-0.00305781333976689,-0.00551404013837217,-0.0524086952689324,0.0548649220675377
66,-0.00312008987689835,-0.00553795899260506,-0.0485456121321548,0.0509634812478615
67,-0.00279507343201126,-0.00574056994077309,-0.0450896269123638,0.0480351234211256
68,-0.00285196761339027,-0.00521409408197604,-0.0444382888098857,0.0468004152784715
69,-0.00277277703490141,-0.00482147184601151,-0.0419538284763536,0.0440025232874637
70,-0.00263918506585961,-0.00428676794483344,-0.0415224400369094,0.0431700229158833
71,-0.00250758781075269,-0.00412920423990705,-0.0392913866468052,0.0409130030759595
72,-0.00218906411016785,-0.00365870042278446,-0.0376244682980678,0.0390941046106844
73,-0.00203632403191592,-0.00378742884999283,-0.0358464079948164,0.0375975128128933
74,-0.00209548982649237,-0.00395925662050924,-0.0335660019897248,0.0354297687837416
75,-0.00161684966056377,-0.00372589881521371,-0.0325183250289641,0.0346273741836141
76,-0.0015748287184844,-0.00420317095847685,-0.0290281862033817,0.0316565284433741
77,-0.00158580601484452,-0.00418200769809038,-0.0272740690289825,0.0298702707122283
78,-0.00158467689415964,-0.00402821999926645,-0.0253870552652942,0.0278305983704011
79,-0.00162549637793712,-0.00391210921029517,-0.0225814965965567,0.0248681094289147
80,-0.00144233175941917,-0.00394115132714654,-0.0204534475734234,0.0229522671411507
81,-0.00134205118496297,-0.00399080241622297,-0.0179472029343181,0.0205959541655781
82,-0.00130004860511294,-0.00421032192775957,-0.0158972020509921,0.0188074753736387
83,-0.00105990581234555,-0.00401106756106444,-0.0141727846815204,0.0171239464302393
84,-0.00109405442849531,-0.0040753090829378,-0.011639262087541,0.0146205167419835
85,-0.000981766020158537,-0.00379435668891841,-0.0108581820001876,0.0136707726689475
86,-0.000968516112171788,-0.0037190622016897,-0.00945729761562858,0.0122078437051465
87,-0.000489335855195838,-0.00381151481334213,-0.00688119968324331,0.0102033786413896
88,-0.000378795973155877,-0.00380955560611748,-0.00573823335947605,0.00916899299243765
89,-0.000447157952259414,-0.00397684404952845,-0.00426678067606283,0.00779646677333186
90,-0.000295504406669103,-0.0040498180741518,-0.00321606457279758,0.00697037824028028
91,-0.000280708248345973,-0.00379099783311562,-0.00283838101888839,0.00634867060365804
92,-9.98195356424342e-05,-0.0037796038696182,-0.00213167600400227,0.00581146033797804
93,-2.30615667172474e-05,-0.00377219957581072,-0.00114418860624171,0.00489332661533518
94,-3.49636623819399e-05,-0.00361327663685542,-0.00126984274853641,0.00484815572300989
95,-8.25339887795956e-05,-0.00352646174789767,-0.00070656642986887,0.00415049418898694
96,-0.000130043512715006,-0.00304889900638462,-0.000676415159270551,0.00359527065294016
97,-6.20392024999888e-05,-0.00303415911687315,-0.000535803351646371,0.00350792326601953
98,5.94338456849641e-06,-0.00317532729675262,-0.000129118950340362,0.00331038963166148
99,0,-0.00308539692421087,-0.00019192172229119,0.00327731864650206
100,0,-0.00308539692421087,-0.00019192172229119,0.00327731864650206
